mex_muni,value
"chicxulub pueblo, yucatan",1
"hualahuises, nuevo leun",1
"tulcingo, puebla",7
"la trinidad vista hermosa, oaxaca",5
"huejotitan, chihuahua",4
"calvillo, aguascalientes",7
"cantamayec, yucatan",7
"rosario, chihuahua",8
"putla villa de guerrero, oaxaca",5
"san jose tenango, oaxaca",6
"jose sixto verduzco, michoacan de ocampo",5
"escuintla, chiapas",1
"san sebastian nicananduta, oaxaca",3
"senguio, michoacan de ocampo",1
"amealco de bonfil, queretaro arteaga",6
"reynosa, tamaulipas",2
"tuzamapan de galeana, puebla",7
"san andres solaga, oaxaca",6
"san lorenzo texmelucan, oaxaca",4
"tamazunchale, san luis potosi",0
"cenotillo, yucatan",0
"jojutla, morelos",3
"iliatenco, guerrero",3
"chiautzingo, puebla",5
"chiquihuitlan de benito juarez, oaxaca",4
"san agustin tlaxiaca, hidalgo",2
"xiutetelco, puebla",9
"jaltenco, mexico",9
"iztapalapa, distrito federal",7
"san juan quiotepec, oaxaca",8
"san andres sinaxtla, oaxaca",4
"san pedro topiltepec, oaxaca",1
"general heliodoro castillo, guerrero",9
"vista hermosa, michoacan de ocampo",3
"jonacatepec, morelos",9
"ensenada, baja california",0
"teya, yucatan",6
"irimbo, michoacan de ocampo",9
"jamay, jalisco",3
"guerrero, tamaulipas",0
"tultepec, mexico",3
"magdalena penasco, oaxaca",4
"villa uniun, coahuila de zaragoza",8
"catemaco, veracruz de ignacio de la llave",7
"tepache, sonora",3
"san buenaventura, coahuila de zaragoza",3
"cabo corrientes, jalisco",5
"san miguel mixtepec, oaxaca",3
"san sebastian del oeste, jalisco",5
"santa maria chimalapa, oaxaca",3
"otatitlan, veracruz de ignacio de la llave",0
"tomatlan, veracruz de ignacio de la llave",7
"san pedro apustol, oaxaca",7
"maravatio, michoacan de ocampo",0
"san pablo del monte, tlaxcala",5
"juan c. bonilla, puebla",9
"atzalan, veracruz de ignacio de la llave",6
"san diego de la uniun, guanajuato",0
"cohetzala, puebla",7
"pinos, zacatecas",1
"huejutla de reyes, hidalgo",6
"lagunillas, san luis potosi",2
"piaxtla, puebla",5
"asunciun ixtaltepec, oaxaca",1
"jungapeo, michoacan de ocampo",1
"tepango de rodriguez, puebla",5
"santa lucia miahuatlan, oaxaca",9
"la magdalena tlatlauquitepec, puebla",6
"candelaria, campeche",6
"progreso de obregun, hidalgo",8
"omealca, veracruz de ignacio de la llave",4
"ocozocoautla de espinosa, chiapas",5
"amatepec, mexico",5
"tlalpujahua, michoacan de ocampo",6
"apatzingan, michoacan de ocampo",3
"zinacantan, chiapas",3
"cunduacan, tabasco",9
"molcaxac, puebla",5
"boca del rio, veracruz de ignacio de la llave",7
"encarnaciun de diaz, jalisco",0
"teotitlan del valle, oaxaca",2
"jopala, puebla",8
"san martin itunyoso, oaxaca",4
"dr. belisario dominguez, chihuahua",2
"san pedro jicayan, oaxaca",1
"san andres nuxino, oaxaca",8
"san sebastian tutla, oaxaca",6
"san juan juquila mixes, oaxaca",9
"tecpatan, chiapas",3
"tlaquepaque, jalisco",9
"acatlan de perez figueroa, oaxaca",6
"huimilpan, queretaro arteaga",7
"cuajimalpa de morelos, distrito federal",7
"coyuca de catalan, guerrero",3
"san lucas, chiapas",6
"xaltocan, tlaxcala",3
"zapotitlan de vadillo, jalisco",6
"palmillas, tamaulipas",2
"sochiapa, veracruz de ignacio de la llave",7
"coatepec, puebla",7
"mineral de la reforma, hidalgo",8
"tocatlan, tlaxcala",1
"chumayel, yucatan",3
"elota, sinaloa",0
"tultitlan, mexico",8
"atotonilco de tula, hidalgo",1
"san francisco del mar, oaxaca",6
"tancanhuitz, san luis potosi",9
"angostura, sinaloa",1
"guadalupe y calvo, chihuahua",4
"metepec, hidalgo",5
"teziutlan, puebla",3
"ixtacomitan, chiapas",3
"moctezuma, san luis potosi",0
"ayutla de los libres, guerrero",7
"francisco leun, chiapas",7
"amatitan, jalisco",0
"cuetzala del progreso, guerrero",7
"benito juarez, veracruz de ignacio de la llave",1
"santa ana, oaxaca",9
"aquixtla, puebla",3
"tenabo, campeche",9
"romita, guanajuato",4
"bocoyna, chihuahua",8
"mapastepec, chiapas",0
"nautla, veracruz de ignacio de la llave",8
"sunuapa, chiapas",4
"tehuipango, veracruz de ignacio de la llave",6
"general simun bolivar, durango",3
"nacajuca, tabasco",3
"panotla, tlaxcala",8
"acapulco de juarez, guerrero",1
"apaseo el alto, guanajuato",6
"epazoyucan, hidalgo",7
"timucuy, yucatan",5
"jalapa, tabasco",6
"san jerunimo xayacatlan, puebla",3
"torreun, coahuila de zaragoza",3
"espinal, veracruz de ignacio de la llave",6
"gabriel zamora, michoacan de ocampo",1
"huichapan, hidalgo",7
"huitzilan de serdan, puebla",3
"juarez, nuevo leun",2
"contepec, michoacan de ocampo",0
"paras, nuevo leun",5
"atlangatepec, tlaxcala",4
"riva palacio, chihuahua",4
"soyopa, sonora",9
"cuernavaca, morelos",2
"comapa, veracruz de ignacio de la llave",5
"san luis de la paz, guanajuato",2
"chontla, veracruz de ignacio de la llave",6
"xalisco, nayarit",4
"coatlan del rio, morelos",6
"san pedro y san pablo teposcolula, oaxaca",1
"petlalcingo, puebla",4
"san mateo pinas, oaxaca",3
"galeana, chihuahua",6
"san francisco lachigolu, oaxaca",8
"compostela, nayarit",8
"villa de ramos, san luis potosi",7
"rioverde, san luis potosi",9
"santiago lalopa, oaxaca",8
"champotun, campeche",5
"san mateo penasco, oaxaca",2
"tlacuilotepec, puebla",3
"acatepec, guerrero",7
"aguascalientes, aguascalientes",3
"san andres huaxpaltepec, oaxaca",8
"ixmatlahuacan, veracruz de ignacio de la llave",8
"puerto penasco, sonora",1
"santa cruz tayata, oaxaca",1
"san pedro huilotepec, oaxaca",5
"kanasin, yucatan",6
"jitotol, chiapas",2
"telchac puerto, yucatan",4
"tepechitlan, zacatecas",8
"san juan de los cues, oaxaca",5
"monclova, coahuila de zaragoza",5
"canadas de obregun, jalisco",4
"tlacolula de matamoros, oaxaca",6
"santa maria zaniza, oaxaca",7
"tlaxcala, tlaxcala",1
"cerro azul, veracruz de ignacio de la llave",4
"opichen, yucatan",2
"pantelhu, chiapas",8
"san sebastian teitipac, oaxaca",1
"soyaniquilpan de juarez, mexico",1
"santiago choapam, oaxaca",3
"juan r. escudero, guerrero",4
"san ildefonso villa alta, oaxaca",1
"tepetlaoxtoc, mexico",8
"san pedro el alto, oaxaca",0
"amatenango de la frontera, chiapas",0
"kopoma, yucatan",0
"monterrey, nuevo leun",4
"centla, tabasco",7
"san lucas quiavini, oaxaca",9
"calakmul, campeche",3
"nanchital de lazaro cardenas del rio, veracruz de ignacio de la llave",9
"gumez farias, chihuahua",1
"poncitlan, jalisco",4
"san salvador huixcolotla, puebla",1
"texhuacan, veracruz de ignacio de la llave",2
"alpoyeca, guerrero",7
"jalostotitlan, jalisco",8
"pinal de amoles, queretaro arteaga",2
"quechultenango, guerrero",1
"lagunillas, michoacan de ocampo",9
"mixquiahuala de juarez, hidalgo",3
"chalma, veracruz de ignacio de la llave",4
"copainala, chiapas",5
"monte escobedo, zacatecas",7
"santiago nuyou, oaxaca",1
"tekal de venegas, yucatan",2
"general felipe angeles, puebla",5
"el higo, veracruz de ignacio de la llave",8
"apaseo el grande, guanajuato",9
"pesqueria, nuevo leun",7
"tampacan, san luis potosi",6
"comonfort, guanajuato",2
"loreto, zacatecas",5
"chinampa de gorostiza, veracruz de ignacio de la llave",9
"santa barbara, chihuahua",3
"rosamorada, nayarit",6
"san joaquin, queretaro arteaga",0
"san andres lagunas, oaxaca",7
"escarcega, campeche",9
"cosoltepec, oaxaca",8
"cansahcab, yucatan",2
"tepeojuma, puebla",7
"ixtacamaxtitlan, puebla",1
"huejuquilla el alto, jalisco",8
"marquelia, guerrero",9
"zentla, veracruz de ignacio de la llave",8
"magdalena jaltepec, oaxaca",7
"castillo de teayo, veracruz de ignacio de la llave",5
"benito juarez, sonora",5
"izamal, yucatan",6
"sancturum de lazaro cardenas, tlaxcala",2
"celaya, guanajuato",4
"teotlalco, puebla",1
"autlan de navarro, jalisco",6
"tlaquiltenango, morelos",2
"san jose lachiguiri, oaxaca",8
"angamacutiro, michoacan de ocampo",8
"tepotzotlan, mexico",6
"chiconcuautla, puebla",4
"san mateo atenco, mexico",8
"zitlaltepec de trinidad sanchez santos, tlaxcala",8
"atlatlahucan, morelos",8
"ayotlan, jalisco",7
"zozocolco de hidalgo, veracruz de ignacio de la llave",9
"tilapa, puebla",5
"tepetitla de lardizabal, tlaxcala",0
"santiago miltepec, oaxaca",4
"amacueca, jalisco",7
"san pedro ixcatlan, oaxaca",0
"san nicolas, oaxaca",6
"tuxpan, michoacan de ocampo",0
"san felipe, guanajuato",5
"chichiquila, puebla",4
"pedro ascencio alquisiras, guerrero",6
"xonacatlan, mexico",7
"soledad atzompa, veracruz de ignacio de la llave",5
"teapa, tabasco",6
"angel albino corzo, chiapas",8
"san pablo villa de mitla, oaxaca",3
"cuautla, jalisco",9
"san jerunimo zacualpan, tlaxcala",8
"san melchor betaza, oaxaca",6
"calimaya, mexico",9
"soteapan, veracruz de ignacio de la llave",4
"villa de reyes, san luis potosi",5
"miahuatlan, veracruz de ignacio de la llave",3
"santiago papasquiaro, durango",7
"gral. zaragoza, nuevo leun",5
"villa del carbun, mexico",8
"paraiso, tabasco",0
"el salvador, zacatecas",5
"general cepeda, coahuila de zaragoza",9
"santa ines del monte, oaxaca",0
"jilotzingo, mexico",5
"san diego de alejandria, jalisco",1
"san antonio de la cal, oaxaca",4
"ejutla, jalisco",7
"santo domingo albarradas, oaxaca",6
"matamoros, coahuila de zaragoza",8
"san miguel yotao, oaxaca",6
"tonala, jalisco",2
"tepic, nayarit",0
"zapotiltic, jalisco",3
"tochtepec, puebla",0
"san jose teacalco, tlaxcala",1
"chapala, jalisco",6
"san julian, jalisco",7
"tixpehual, yucatan",6
"san juan sayultepec, oaxaca",9
"nuevo ideal, durango",9
"loreto, baja california sur",2
"pacula, hidalgo",8
"san felipe, yucatan",4
"tapalpa, jalisco",6
"minatitlan, veracruz de ignacio de la llave",1
"magdalena, veracruz de ignacio de la llave",8
"tijuana, baja california",3
"nicolas romero, mexico",1
"tonatico, mexico",1
"azcapotzalco, distrito federal",6
"ajacuba, hidalgo",1
"san juan cacahuatepec, oaxaca",0
"hopelchen, campeche",5
"ixtapangajoya, chiapas",8
"capulalpam de mendez, oaxaca",7
"chilchota, michoacan de ocampo",4
"san salvador el verde, puebla",5
"atlequizayan, puebla",0
"acatic, jalisco",1
"nogales, veracruz de ignacio de la llave",3
"arandas, jalisco",9
"maxcanu, yucatan",2
"chichimila, yucatan",7
"general plutarco elias calles, sonora",1
"san miguel totolapan, guerrero",9
"mecatlan, veracruz de ignacio de la llave",7
"santa cruz acatepec, oaxaca",7
"soledad etla, oaxaca",3
"tala, jalisco",4
"puente de ixtla, morelos",5
"general canuto a. neri, guerrero",7
"mexicaltzingo, mexico",1
"villa de allende, mexico",9
"san cristubal amatlan, oaxaca",7
"tekantu, yucatan",8
"zapotitlan del rio, oaxaca",9
"chapa de mota, mexico",2
"alamos, sonora",1
"san mateo tlapiltepec, oaxaca",2
"ixil, yucatan",2
"huasabas, sonora",7
"ometepec, guerrero",6
"tenochtitlan, veracruz de ignacio de la llave",4
"san nicolas de los garza, nuevo leun",4
"san francisco logueche, oaxaca",1
"marques de comillas, chiapas",9
"ziracuaretiro, michoacan de ocampo",1
"moloacan, veracruz de ignacio de la llave",8
"cihuatlan, jalisco",5
"casimiro castillo, jalisco",4
"san juan del rio, durango",9
"acolman, mexico",1
"minatitlan, colima",3
"huehuetlan, san luis potosi",1
"numaran, michoacan de ocampo",0
"churumuco, michoacan de ocampo",5
"tizapan el alto, jalisco",9
"acapetahua, chiapas",8
"espita, yucatan",8
"santa maria penoles, oaxaca",6
"abala, yucatan",3
"santiago tlazoyaltepec, oaxaca",7
"teul de gonzalez ortega, zacatecas",1
"tuxcueca, jalisco",4
"la compania, oaxaca",4
"chikindzonot, yucatan",9
"santa maria yolotepec, oaxaca",2
"la magdalena tlaltelulco, tlaxcala",4
"papantla, veracruz de ignacio de la llave",3
"ixtapaluca, mexico",8
"tecuala, nayarit",5
"las minas, veracruz de ignacio de la llave",1
"astacinga, veracruz de ignacio de la llave",4
"cuautepec, guerrero",5
"angel r. cabada, veracruz de ignacio de la llave",4
"gran morelos, chihuahua",9
"tlaltenango, puebla",1
"miguel auza, zacatecas",4
"santa maria yavesia, oaxaca",6
"querendaro, michoacan de ocampo",1
"santiago matatlan, oaxaca",3
"la paz, mexico",4
"tzicatlacoyan, puebla",4
"campeche, campeche",9
"san juan diuxi, oaxaca",5
"los reyes, veracruz de ignacio de la llave",3
"emiliano zapata, hidalgo",3
"atotonilco el grande, hidalgo",1
"santiago nacaltepec, oaxaca",5
"yaonahuac, puebla",3
"pueblo nuevo, durango",8
"san cristubal de las casas, chiapas",0
"san miguel tlacotepec, oaxaca",9
"tlacojalpan, veracruz de ignacio de la llave",8
"tecate, baja california",4
"lagos de moreno, jalisco",6
"etchojoa, sonora",3
"san sebastian rio hondo, oaxaca",5
"mitontic, chiapas",9
"santa gertrudis, oaxaca",5
"playa vicente, veracruz de ignacio de la llave",9
"san bernardo mixtepec, oaxaca",4
"bacum, sonora",8
"amatan, chiapas",0
"arriaga, chiapas",2
"santa maria xadani, oaxaca",6
"santiago tamazola, oaxaca",3
"navojoa, sonora",2
"actopan, hidalgo",8
"san juan petlapa, oaxaca",6
"ayotoxco de guerrero, puebla",4
"santa cruz tlaxcala, tlaxcala",4
"huachinera, sonora",8
"santa maria coyotepec, oaxaca",1
"santiago yolomecatl, oaxaca",7
"chila de la sal, puebla",6
"ixmiquilpan, hidalgo",1
"san pablo anicano, puebla",2
"san juan comaltepec, oaxaca",9
"san martin totoltepec, puebla",9
"guanacevi, durango",9
"progreso, coahuila de zaragoza",4
"chignautla, puebla",7
"chapab, yucatan",8
"san mateo sindihui, oaxaca",1
"techaluta de montenegro, jalisco",0
"santo domingo tepuxtepec, oaxaca",5
"ecuandureo, michoacan de ocampo",1
"xochimilco, distrito federal",9
"san juan lajarcia, oaxaca",3
"rio lagartos, yucatan",8
"magdalena, jalisco",5
"nuevo casas grandes, chihuahua",9
"tenango de doria, hidalgo",7
"san salvador el seco, puebla",8
"ixtlahuacan del rio, jalisco",4
"ixtlan del rio, nayarit",7
"tecoman, colima",0
"juan galindo, puebla",5
"tapachula, chiapas",3
"nazareno etla, oaxaca",6
"santa isabel xiloxoxtla, tlaxcala",0
"el carmen tequexquitla, tlaxcala",6
"juarez, chiapas",0
"manzanillo, colima",9
"paracho, michoacan de ocampo",5
"socoltenango, chiapas",5
"la antigua, veracruz de ignacio de la llave",7
"yehualtepec, puebla",5
"tocumbo, michoacan de ocampo",7
"badiraguato, sinaloa",8
"tixkokob, yucatan",4
"san juan yaee, oaxaca",6
"san vicente tancuayalab, san luis potosi",3
"rio blanco, veracruz de ignacio de la llave",6
"santiago, nuevo leun",8
"san jacinto tlacotepec, oaxaca",8
"tlacotalpan, veracruz de ignacio de la llave",6
"jiutepec, morelos",9
"suma, yucatan",2
"san martin de las piramides, mexico",4
"altepexi, puebla",1
"san dionisio del mar, oaxaca",4
"huasca de ocampo, hidalgo",8
"chilchotla, puebla",5
"guachinango, jalisco",5
"san simun zahuatlan, oaxaca",4
"acacoyagua, chiapas",8
"camargo, tamaulipas",6
"coapilla, chiapas",5
"linares, nuevo leun",2
"cuilapam de guerrero, oaxaca",2
"san agustin metzquititlan, hidalgo",5
"santa maria guelace, oaxaca",8
"uxpanapa, veracruz de ignacio de la llave",4
"mulege, baja california sur",2
"carichi, chihuahua",1
"cuquio, jalisco",4
"carmen, campeche",4
"cotaxtla, veracruz de ignacio de la llave",7
"san miguel tequixtepec, oaxaca",7
"mier, tamaulipas",3
"tepeyanco, tlaxcala",7
"santa maria del rio, san luis potosi",3
"naolinco, veracruz de ignacio de la llave",2
"cuautitlan, mexico",8
"tatatila, veracruz de ignacio de la llave",8
"santo tomas, mexico",4
"santo domingo yodohino, oaxaca",1
"zihuateutla, puebla",0
"tepalcatepec, michoacan de ocampo",8
"asunciun cacalotepec, oaxaca",9
"huautla, hidalgo",4
"ocuilan, mexico",1
"bustamante, nuevo leun",2
"general francisco r. murguia, zacatecas",9
"zinacantepec, mexico",8
"aquila, veracruz de ignacio de la llave",3
"santa isabel, chihuahua",7
"temascaltepec, mexico",2
"tixtla de guerrero, guerrero",5
"mazatepec, morelos",1
"mixtlan, jalisco",7
"san antonio nanahuatipam, oaxaca",7
"santa maria ixcatlan, oaxaca",1
"lazaro cardenas, michoacan de ocampo",0
"el tule, chihuahua",0
"hermosillo, sonora",1
"apan, hidalgo",3
"santa catarina quiane, oaxaca",4
"nativitas, tlaxcala",7
"santiago laxopa, oaxaca",6
"zacualpan, veracruz de ignacio de la llave",0
"solosuchiapa, chiapas",9
"tangamandapio, michoacan de ocampo",4
"santiago cacaloxtepec, oaxaca",9
"mendez, tamaulipas",5
"suaqui grande, sonora",5
"bella vista, chiapas",6
"cerro de san pedro, san luis potosi",5
"tixcacalcupul, yucatan",3
"ixtacuixtla de mariano matamoros, tlaxcala",4
"santa maria tepantlali, oaxaca",7
"san juanito de escobedo, jalisco",0
"abasolo, tamaulipas",8
"tizimin, yucatan",4
"ahuatlan, puebla",5
"rayun, mexico",7
"san pedro yucunama, oaxaca",4
"filomeno mata, veracruz de ignacio de la llave",2
"san martin hidalgo, jalisco",8
"homun, yucatan",2
"magdalena yodocono de porfirio diaz, oaxaca",8
"tenamaxtlan, jalisco",2
"san lorenzo axocomanitla, tlaxcala",1
"la huacana, michoacan de ocampo",8
"chapultenango, chiapas",0
"ahualulco de mercado, jalisco",1
"tlanchinol, hidalgo",5
"cosala, sinaloa",0
"san pedro juchatengo, oaxaca",5
"san miguel huautla, oaxaca",1
"jacona, michoacan de ocampo",3
"lazaro cardenas, tlaxcala",7
"emiliano zapata, morelos",0
"jalcomulco, veracruz de ignacio de la llave",7
"rio bravo, tamaulipas",1
"panuco de coronado, durango",6
"madera, chihuahua",7
"agua blanca de iturbide, hidalgo",2
"zacapu, michoacan de ocampo",2
"dzidzantun, yucatan",9
"san nicolas tolentino, san luis potosi",9
"berriozabal, chiapas",9
"brisenas, michoacan de ocampo",7
"altamira, tamaulipas",0
"san blas atempa, oaxaca",8
"sacalum, yucatan",3
"mazatan, sonora",4
"san bartolome quialana, oaxaca",7
"chacsinkin, yucatan",0
"coronado, chihuahua",0
"gral. bravo, nuevo leun",2
"san simun de guerrero, mexico",5
"santo tomas hueyotlipan, puebla",5
"san antonino el alto, oaxaca",8
"animas trujano, oaxaca",6
"atenco, mexico",8
"concepciun papalo, oaxaca",0
"chapultepec, mexico",1
"zapotitlan, puebla",7
"san bartolome zoogocho, oaxaca",7
"tolcayuca, hidalgo",7
"ixhuatlan del cafe, veracruz de ignacio de la llave",4
"santa maria camotlan, oaxaca",6
"calnali, hidalgo",8
"ocampo, tamaulipas",5
"mazapa de madero, chiapas",5
"tingambato, michoacan de ocampo",3
"villaldama, nuevo leun",0
"silao, guanajuato",9
"emiliano zapata, tlaxcala",4
"ixtapan del oro, mexico",1
"abasolo, coahuila de zaragoza",4
"san cristubal lachirioag, oaxaca",4
"atlixtac, guerrero",5
"candelaria loxicha, oaxaca",2
"uriangato, guanajuato",3
"san andres tuxtla, veracruz de ignacio de la llave",1
"degollado, jalisco",8
"san pedro yeloixtlahuaca, puebla",3
"texcaltitlan, mexico",1
"benemerito de las americas, chiapas",4
"altzayanca, tlaxcala",2
"san pedro huamelula, oaxaca",5
"ocotlan, jalisco",6
"santo domingo tlatayapam, oaxaca",5
"rosales, chihuahua",5
"santa maria nduayaco, oaxaca",7
"ucu, yucatan",7
"zautla, puebla",9
"ajuchitlan del progreso, guerrero",5
"matlapa, san luis potosi",5
"san agustin amatengo, oaxaca",0
"axutla, puebla",5
"axochiapan, morelos",9
"atemajac de brizuela, jalisco",4
"chilun, chiapas",9
"poza rica de hidalgo, veracruz de ignacio de la llave",8
"hidalgo, nuevo leun",9
"tomatlan, jalisco",7
"san miguel tulancingo, oaxaca",7
"santo domingo ixcatlan, oaxaca",0
"teotongo, oaxaca",3
"halachu, yucatan",7
"valle de zaragoza, chihuahua",8
"uruachi, chihuahua",9
"gustavo diaz ordaz, tamaulipas",4
"tlaola, puebla",0
"tlazazalca, michoacan de ocampo",4
"pachuca de soto, hidalgo",8
"cutzamala de pinzun, guerrero",5
"san juan atenco, puebla",9
"ixtapa, chiapas",2
"reforma de pineda, oaxaca",1
"san miguel del puerto, oaxaca",1
"rayun, san luis potosi",3
"san lucas ojitlan, oaxaca",9
"alvarado, veracruz de ignacio de la llave",9
"san pablo etla, oaxaca",5
"caborca, sonora",1
"ojuelos de jalisco, jalisco",6
"villanueva, zacatecas",0
"llera, tamaulipas",3
"ajalpan, puebla",8
"tenancingo, tlaxcala",1
"santa ana maya, michoacan de ocampo",4
"coahuayana, michoacan de ocampo",0
"mugica, michoacan de ocampo",3
"chalchihuites, zacatecas",7
"santa maria jaltianguis, oaxaca",0
"guerrero, coahuila de zaragoza",3
"villa comaltitlan, chiapas",1
"santa maria texcatitlan, oaxaca",8
"espanita, tlaxcala",5
"francisco z. mena, puebla",9
"charcas, san luis potosi",4
"simojovel, chiapas",3
"zaragoza, veracruz de ignacio de la llave",8
"nogales, sonora",8
"los ramones, nuevo leun",2
"cuitlahuac, veracruz de ignacio de la llave",4
"cualac, guerrero",0
"pinotepa de don luis, oaxaca",5
"pueblo nuevo solistahuacan, chiapas",8
"tepatitlan de morelos, jalisco",0
"san juan bautista atatlahuca, oaxaca",6
"santa maria apazco, oaxaca",5
"pajapan, veracruz de ignacio de la llave",3
"vicente guerrero, durango",4
"tepecoacuilco de trujano, guerrero",1
"santa cruz, sonora",3
"santa maria guienagati, oaxaca",5
"san bernardo, durango",9
"san marcos, guerrero",0
"coxcatlan, puebla",4
"coyomeapan, puebla",2
"temascalapa, mexico",6
"muna, yucatan",1
"ezequiel montes, queretaro arteaga",0
"sayula de aleman, veracruz de ignacio de la llave",0
"zacualtipan de angeles, hidalgo",4
"motul, yucatan",9
"alto lucero de gutierrez barrios, veracruz de ignacio de la llave",1
"tamalin, veracruz de ignacio de la llave",4
"tanlajas, san luis potosi",1
"ahuazotepec, puebla",1
"hostotipaquillo, jalisco",1
"san jerunimo coatlan, oaxaca",2
"iguala de la independencia, guerrero",0
"san juan chilateca, oaxaca",2
"san juan cotzocun, oaxaca",8
"texistepec, veracruz de ignacio de la llave",0
"san ignacio cerro gordo, jalisco",0
"la trinitaria, chiapas",7
"tepalcingo, morelos",9
"gral. zuazua, nuevo leun",6
"morelos, coahuila de zaragoza",6
"san miguel tlacamama, oaxaca",3
"tepetzintla, puebla",6
"sayula, jalisco",4
"tepanco de lupez, puebla",8
"san miguel xoxtla, puebla",2
"magdalena mixtepec, oaxaca",3
"cuetzalan del progreso, puebla",0
"tlalnepantla, morelos",7
"tlacotepec de benito juarez, puebla",9
"asientos, aguascalientes",5
"jaltocan, hidalgo",6
"huitzilac, morelos",3
"villa tejupam de la uniun, oaxaca",0
"tepetlan, veracruz de ignacio de la llave",0
"san pedro jaltepetongo, oaxaca",3
"ixtapan de la sal, mexico",3
"santa catarina cuixtla, oaxaca",5
"santiago suchilquitongo, oaxaca",3
"lafragua, puebla",2
"alcozauca de guerrero, guerrero",1
"zapotitlan lagunas, oaxaca",5
"zempoala, hidalgo",6
"hueyotlipan, tlaxcala",0
"mazatan, chiapas",6
"acanceh, yucatan",7
"zapotlanejo, jalisco",8
"albino zertuche, puebla",3
"higueras, nuevo leun",0
"nonoava, chihuahua",4
"santa cruz de juventino rosas, guanajuato",7
"atlacomulco, mexico",7
"santiago xiacui, oaxaca",6
"las choapas, veracruz de ignacio de la llave",8
"san martin de bolanos, jalisco",7
"madero, michoacan de ocampo",1
"la perla, veracruz de ignacio de la llave",8
"la huerta, jalisco",2
"colotlan, jalisco",9
"valle de guadalupe, jalisco",5
"zacoalco de torres, jalisco",8
"santiago zoochila, oaxaca",0
"jamapa, veracruz de ignacio de la llave",0
"san dionisio ocotlan, oaxaca",9
"penjamillo, michoacan de ocampo",2
"veracruz, veracruz de ignacio de la llave",4
"san juan mixtepec   dto. 26  , oaxaca",4
"santa ines de zaragoza, oaxaca",4
"sain alto, zacatecas",8
"zacualpan de amilpas, morelos",4
"empalme, sonora",0
"tecolutla, veracruz de ignacio de la llave",6
"manuel benavides, chihuahua",0
"aguililla, michoacan de ocampo",9
"san sebastian tecomaxtlahuaca, oaxaca",0
"abasolo, guanajuato",8
"talpa de allende, jalisco",4
"tenango del valle, mexico",5
"tlachichuca, puebla",4
"el espinal, oaxaca",0
"san mateo cajonos, oaxaca",7
"san salvador, hidalgo",1
"san andres zabache, oaxaca",9
"huitiupan, chiapas",4
"santiago tenango, oaxaca",8
"san agustin loxicha, oaxaca",6
"china, nuevo leun",3
"yecapixtla, morelos",4
"ixcatepec, veracruz de ignacio de la llave",0
"san pedro ixtlahuaca, oaxaca",4
"manlio fabio altamirano, veracruz de ignacio de la llave",5
"bochil, chiapas",5
"santa catarina zapoquila, oaxaca",5
"pajacuaran, michoacan de ocampo",8
"uniun juarez, chiapas",5
"zongolica, veracruz de ignacio de la llave",9
"jiquipilco, mexico",5
"tixmehuac, yucatan",2
"olintla, puebla",1
"tuxpan, jalisco",7
"lampazos de naranjo, nuevo leun",8
"charo, michoacan de ocampo",0
"casas, tamaulipas",2
"sotuta, yucatan",2
"santa lucia monteverde, oaxaca",0
"yecuatla, veracruz de ignacio de la llave",3
"guadalupe, nuevo leun",4
"nochistlan de mejia, zacatecas",2
"xaloztoc, tlaxcala",2
"ahome, sinaloa",2
"santa ana, sonora",0
"santa catarina loxicha, oaxaca",9
"marcos castellanos, michoacan de ocampo",3
"temixco, morelos",7
"san juan lachigalla, oaxaca",3
"moris, chihuahua",4
"camerino z. mendoza, veracruz de ignacio de la llave",5
"villa guerrero, jalisco",7
"el plateado de joaquin amaro, zacatecas",1
"xalapa, veracruz de ignacio de la llave",8
"totatiche, jalisco",0
"san gabriel chilac, puebla",8
"nopalucan, puebla",0
"coscomatepec, veracruz de ignacio de la llave",8
"tehuitzingo, puebla",2
"ario, michoacan de ocampo",1
"constancia del rosario, oaxaca",4
"tzucacab, yucatan",1
"atolinga, zacatecas",1
"tlapacoya, puebla",6
"huiramba, michoacan de ocampo",0
"trinidad garcia de la cadena, zacatecas",9
"san agustin atenango, oaxaca",0
"valerio trujano, oaxaca",5
"apodaca, nuevo leun",7
"rayun, sonora",8
"villa corzo, chiapas",3
"altotonga, veracruz de ignacio de la llave",9
"san pedro mixtepec - dto. 26 -, oaxaca",1
"tetepango, hidalgo",1
"santo domingo ingenio, oaxaca",3
"santiago amoltepec, oaxaca",5
"san juan lachao, oaxaca",6
"santiago minas, oaxaca",2
"cumpas, sonora",5
"villa de arista, san luis potosi",3
"mezquital, durango",0
"anahuac, nuevo leun",5
"muzquiz, coahuila de zaragoza",9
"huaquechula, puebla",4
"palizada, campeche",2
"chiapas-oaxaca, chiapas-oaxaca",9
"santa cruz mixtepec, oaxaca",1
"juan n. mendez, puebla",3
"san blas, nayarit",8
"cuayuca de andrade, puebla",5
"santiago de anaya, hidalgo",3
"santo tomas mazaltepec, oaxaca",3
"los aldamas, nuevo leun",3
"santa maria quiegolani, oaxaca",8
"venustiano carranza, distrito federal",0
"san baltazar loxicha, oaxaca",1
"salto de agua, chiapas",2
"paso del macho, veracruz de ignacio de la llave",7
"cadereyta jimenez, nuevo leun",7
"san pedro y san pablo tequixtepec, oaxaca",9
"zacazonapan, mexico",7
"silacayoapam, oaxaca",5
"juarez, michoacan de ocampo",8
