state,value,republican vote,time
Idaho,54.4,45.3,1940
Illinois,51.0,48.5,1940
Indiana,49.0,50.5,1940
Iowa,47.6,52.0,1940
Kansas,42.4,56.9,1940
Kentucky,57.4,42.3,1940
Louisiana,85.9,14.1,1940
Maine,48.8,51.1,1940
Maryland,58.3,40.8,1940
Massachusetts,53.1,46.4,1940
Michigan,49.5,49.9,1940
Minnesota,51.5,47.7,1940
Mississippi,95.7,4.2,1940
Missouri,52.3,47.5,1940
Montana,58.8,40.2,1940
Nebraska,42.8,57.2,1940
Nevada,60.1,39.9,1940
"New Hampshire",53.2,46.8,1940
"New Jersey",51.5,47.9,1940
"New Mexico",56.6,43.3,1940
"New York",51.6,48.0,1940
"North Carolina",74.0,26.0,1940
"North Dakota",44.2,55.1,1940
Ohio,52.2,47.8,1940
Oklahoma,57.4,42.2,1940
Oregon,53.7,45.6,1940
Pennsylvania,53.2,46.3,1940
"Rhode Island",56.7,43.2,1940
"South Carolina",95.6,4.4,1940
"South Dakota",42.6,57.4,1940
Tennessee,67.3,32.4,1940
Texas,80.7,19.1,1940
Utah,62.3,37.6,1940
Vermont,44.9,54.8,1940
Virginia,68.1,31.6,1940
Washington,58.2,40.6,1940
"West Virginia",57.1,42.9,1940
Wisconsin,50.1,48.3,1940
Wyoming,52.8,46.9,1940
Alabama,86.4,12.8,1936
Arizona,69.8,26.9,1936
Arkansas,81.8,17.9,1936
California,67.0,31.7,1936
Colorado,60.4,37.1,1936
Connecticut,55.3,40.3,1936
Delaware,54.6,42.3,1936
Florida,76.1,23.9,1936
Georgia,87.1,12.6,1936
Idaho,63.0,33.2,1936
Illinois,57.7,39.7,1936
Indiana,56.6,41.9,1936
Iowa,54.4,42.7,1936
Kansas,53.7,46.0,1936
Kentucky,58.5,39.9,1936
Louisiana,88.8,11.2,1936
Maine,41.5,55.5,1936
Maryland,62.3,37.0,1936
Massachusetts,51.2,41.8,1936
Michigan,56.3,38.8,1936
Minnesota,61.8,31.0,1936
Mississippi,97.0,2.8,1936
Missouri,60.8,38.2,1936
Montana,69.3,27.6,1936
Nebraska,57.1,40.7,1936
Nevada,72.8,27.2,1936
"New Hampshire",49.7,48.0,1936
"New Jersey",59.5,39.6,1936
"New Mexico",62.7,36.5,1936
"New York",58.8,39.0,1936
"North Carolina",73.4,26.6,1936
"North Dakota",59.6,26.6,1936
Ohio,58.0,37.4,1936
Oklahoma,66.8,32.7,1936
Oregon,64.4,29.6,1936
Pennsylvania,56.9,40.8,1936
"Rhode Island",53.0,40.3,1936
"South Carolina",98.6,1.4,1936
"South Dakota",54.0,42.5,1936
Tennessee,68.8,30.8,1936
Texas,87.1,12.3,1936
Utah,69.3,29.8,1936
Vermont,43.2,56.4,1936
Virginia,70.2,29.4,1936
Washington,66.4,29.9,1936
"West Virginia",60.6,39.2,1936
Wisconsin,63.8,30.3,1936
Wyoming,60.6,37.5,1936
Alabama,84.8,14.1,1932
Arizona,67.0,30.5,1932
Arkansas,86.3,12.7,1932
California,58.4,37.4,1932
Colorado,54.8,41.4,1932
Connecticut,47.4,48.5,1932
Delaware,48.1,50.6,1932
Florida,74.5,25.0,1932
Georgia,91.6,7.8,1932
Idaho,58.7,38.2,1932
Illinois,55.2,42.0,1932
Indiana,54.7,42.9,1932
Iowa,57.7,40.0,1932
Kansas,53.6,44.1,1932
Kentucky,59.1,40.2,1932
Louisiana,92.8,7.0,1932
Maine,43.2,55.8,1932
Maryland,61.5,36.0,1932
Massachusetts,50.6,46.6,1932
Michigan,52.4,44.4,1932
Minnesota,59.9,36.3,1932
Mississippi,96.0,3.5,1932
Missouri,63.7,35.1,1932
Montana,58.8,36.1,1932
Nebraska,63.0,35.3,1932
Nevada,69.4,30.6,1932
"New Hampshire",49.0,50.4,1932
"New Jersey",49.5,47.6,1932
"New Mexico",62.7,35.8,1932
"New York",54.1,41.3,1932
"North Carolina",69.9,29.3,1932
"North Dakota",69.6,28.0,1932
Ohio,49.9,47.0,1932
Oklahoma,73.3,26.7,1932
Oregon,58.0,36.9,1932
Pennsylvania,45.3,50.8,1932
"Rhode Island",55.1,43.3,1932
"South Carolina",98.0,1.9,1932
"South Dakota",63.6,34.4,1932
Tennessee,66.5,32.5,1932
Texas,88.1,11.3,1932
Utah,56.5,41.0,1932
Vermont,41.1,57.7,1932
Virginia,68.5,30.1,1932
Washington,57.5,33.9,1932
"West Virginia",54.5,44.5,1932
Wisconsin,63.5,31.2,1932
Wyoming,56.1,40.8,1932
Alabama,51.3,48.5,1928
Arizona,42.2,57.6,1928
Arkansas,60.3,39.3,1928
California,34.2,64.7,1928
Colorado,33.9,64.7,1928
Connecticut,45.6,53.6,1928
Delaware,33.8,65.8,1928
Florida,40.1,56.8,1928
Georgia,56.0,44.0,1928
Idaho,34.4,64.7,1928
Illinois,42.3,56.9,1928
Indiana,39.6,59.7,1928
Iowa,37.6,61.8,1928
Kansas,27.1,72.0,1928
Kentucky,40.5,59.3,1928
Louisiana,76.3,23.7,1928
Maine,31.0,68.6,1928
Maryland,42.3,57.1,1928
Massachusetts,50.2,49.2,1928
Michigan,28.9,70.4,1928
Minnesota,40.8,57.8,1928
Mississippi,82.2,17.8,1928
Missouri,44.2,55.6,1928
Montana,40.5,58.4,1928
Nebraska,36.2,63.2,1928
Nevada,43.5,56.5,1928
"New Hampshire",41.0,58.7,1928
"New Jersey",39.8,59.8,1928
"New Mexico",40.8,59.0,1928
"New York",47.4,49.8,1928
"North Carolina",45.1,54.9,1928
"North Dakota",44.5,54.8,1928
Ohio,34.5,64.9,1928
Oklahoma,35.4,63.7,1928
Oregon,34.1,64.2,1928
Pennsylvania,33.9,65.2,1928
"Rhode Island",50.2,49.5,1928
"South Carolina",91.4,8.5,1928
"South Dakota",39.2,60.2,1928
Tennessee,44.5,55.3,1928
Texas,48.1,51.8,1928
Utah,45.9,53.6,1928
Vermont,32.9,66.9,1928
Virginia,45.9,53.9,1928
Washington,31.3,67.1,1928
"West Virginia",41.0,58.4,1928
Wisconsin,44.3,53.5,1928
Wyoming,35.4,63.7,1928
Alabama,67.8,27.0,1924
Arizona,35.5,41.3,1924
Arkansas,61.2,29.3,1924
California,8.2,57.2,1924
Colorado,22.0,57.0,1924
Connecticut,27.5,61.5,1924
Delaware,36.8,57.7,1924
Florida,56.9,28.1,1924
Georgia,74.0,18.2,1924
Idaho,16.2,47.3,1924
Illinois,23.4,58.8,1924
Indiana,38.7,55.3,1924
Iowa,16.4,55.0,1924
Kansas,23.6,61.5,1924
Kentucky,46.0,48.9,1924
Louisiana,76.4,20.2,1924
Maine,21.8,72.0,1924
Maryland,41.3,45.3,1924
Massachusetts,24.9,62.3,1924
Michigan,13.1,75.4,1924
Minnesota,6.8,51.2,1924
Mississippi,89.4,7.6,1924
Missouri,43.9,49.5,1924
Montana,19.4,42.5,1924
Nebraska,29.6,47.2,1924
Nevada,21.9,41.8,1924
"New Hampshire",34.7,59.8,1924
"New Jersey",27.4,62.2,1924
"New Mexico",43.0,48.5,1924
"New York",29.1,55.8,1924
"North Carolina",59.0,39.6,1924
"North Dakota",7.0,47.7,1924
Ohio,23.7,58.3,1924
Oklahoma,48.4,42.8,1924
Oregon,24.2,51.0,1924
Pennsylvania,19.1,65.3,1924
"Rhode Island",36.5,59.6,1924
"South Carolina",96.6,2.2,1924
"South Dakota",13.3,49.7,1924
Tennessee,52.9,43.5,1924
Texas,73.6,19.9,1924
Utah,29.9,49.3,1924
Vermont,15.7,78.2,1924
Virginia,62.5,32.8,1924
Washington,10.2,52.2,1924
"West Virginia",44.1,49.5,1924
Wisconsin,8.1,37.1,1924
Wyoming,16.1,52.4,1924
Alabama,66.7,31.9,1920
Arizona,44.2,55.4,1920
Arkansas,58.5,38.7,1920
California,24.3,66.2,1920
Colorado,35.9,59.3,1920
Connecticut,33.0,62.7,1920
Delaware,42.1,55.7,1920
Florida,62.1,30.8,1920
Georgia,71.0,28.7,1920
Idaho,33.9,66.0,1920
Illinois,25.5,67.8,1920
Indiana,40.5,55.1,1920
Iowa,25.5,70.9,1920
Kansas,32.5,64.8,1920
Kentucky,49.7,49.3,1920
Louisiana,69.2,30.5,1920
Maine,29.8,68.9,1920
Maryland,42.2,55.1,1920
Massachusetts,27.8,68.5,1920
Michigan,22.3,72.8,1920
Minnesota,19.4,70.6,1920
Mississippi,84.0,14.1,1920
Missouri,43.1,54.6,1920
Montana,32.1,61.1,1920
Nebraska,31.3,64.7,1920
Nevada,36.2,56.9,1920
"New Hampshire",39.4,59.8,1920
"New Jersey",28.4,67.6,1920
"New Mexico",44.3,54.7,1920
"New York",27.0,64.6,1920
"North Carolina",56.7,43.2,1920
"North Dakota",18.2,77.8,1920
Ohio,38.6,58.5,1920
Oklahoma,44.5,50.2,1920
Oregon,33.5,60.2,1920
Pennsylvania,27.2,65.8,1920
"Rhode Island",32.8,64.0,1920
"South Carolina",96.1,3.9,1920
"South Dakota",19.7,60.7,1920
Tennessee,48.3,51.2,1920
Texas,59.2,23.6,1920
Utah,38.8,55.9,1920
Vermont,23.3,75.8,1920
Virginia,61.3,37.9,1920
Washington,21.1,56.0,1920
"West Virginia",43.3,55.3,1920
Wisconsin,16.2,71.1,1920
Wyoming,31.0,62.4,1920
Alabama,75.6,21.9,1916
Arizona,57.2,35.4,1916
Arkansas,66.6,28.0,1916
California,46.6,46.3,1916
Colorado,60.5,34.8,1916
Connecticut,46.7,49.8,1916
Delaware,47.8,50.2,1916
Florida,69.3,18.1,1916
Georgia,79.3,7.1,1916
Idaho,52.0,41.1,1916
Illinois,43.3,52.6,1916
Indiana,46.5,47.4,1916
Iowa,42.7,54.1,1916
Kansas,49.9,44.1,1916
Kentucky,51.9,46.5,1916
Louisiana,85.9,7.0,1916
Maine,47.0,51.0,1916
Maryland,52.8,44.8,1916
Massachusetts,46.6,50.5,1916
Michigan,43.9,52.2,1916
Minnesota,46.2,46.3,1916
Mississippi,92.8,4.9,1916
Missouri,50.6,46.9,1916
Montana,56.8,37.6,1916
Nebraska,55.3,41.0,1916
Nevada,53.4,36.4,1916
"New Hampshire",49.1,49.1,1916
"New Jersey",42.7,54.4,1916
"New Mexico",50.4,46.5,1916
"New York",44.5,51.5,1916
"North Carolina",58.1,41.7,1916
"North Dakota",47.8,46.3,1916
Ohio,51.9,44.2,1916
Oklahoma,50.7,33.3,1916
Oregon,45.9,48.5,1916
Pennsylvania,40.2,54.3,1916
"Rhode Island",46.0,51.1,1916
"South Carolina",96.7,2.4,1916
"South Dakota",45.9,49.8,1916
Tennessee,56.3,42.7,1916
Texas,76.9,17.5,1916
Utah,58.8,37.8,1916
Vermont,35.2,62.4,1916
Virginia,66.8,32.1,1916
Washington,48.1,43.9,1916
"West Virginia",48.5,49.4,1916
Wisconsin,42.8,49.4,1916
Wyoming,54.7,41.8,1916
Alabama,69.9,19.2,1912
Arizona,43.6,29.3,1912
Arkansas,55.0,17.3,1912
California,41.8,41.8,1912
Colorado,42.8,27.0,1912
Connecticut,39.2,17.9,1912
Delaware,46.5,18.3,1912
Florida,70.2,8.8,1912
Georgia,76.6,18.1,1912
Idaho,32.1,24.1,1912
Illinois,35.3,33.7,1912
Indiana,43.1,24.8,1912
Iowa,37.6,32.9,1912
Kansas,39.3,32.9,1912
Kentucky,48.4,22.7,1912
Louisiana,76.8,11.7,1912
Maine,39.4,37.4,1912
Maryland,48.6,24.9,1912
Massachusetts,35.5,29.1,1912
Michigan,27.4,38.9,1912
Minnesota,31.8,37.7,1912
Mississippi,88.9,5.5,1912
Missouri,47.3,17.8,1912
Montana,35.0,28.3,1912
Nebraska,43.7,29.1,1912
Nevada,39.7,27.9,1912
"New Hampshire",39.5,20.2,1912
"New Jersey",41.2,33.6,1912
"New Mexico",41.9,17.1,1912
"New York",41.3,24.6,1912
"North Carolina",59.2,28.4,1912
"North Dakota",34.2,29.7,1912
Ohio,41.0,22.2,1912
Oklahoma,47.0,0.0,1912
Oregon,34.3,27.4,1912
Pennsylvania,32.5,36.5,1912
"Rhode Island",39.0,21.7,1912
"South Carolina",95.9,2.6,1912
"South Dakota",42.1,50.6,1912
Tennessee,52.8,21.5,1912
Texas,72.7,8.9,1912
Utah,32.6,21.5,1912
Vermont,24.4,35.2,1912
Virginia,65.9,15.9,1912
Washington,26.9,35.2,1912
"West Virginia",42.1,29.4,1912
Wisconsin,41.1,15.6,1912
Wyoming,36.2,21.8,1912
Alabama,70.7,24.3,1908
Arkansas,57.3,37.3,1908
California,33.0,55.5,1908
Colorado,48.0,46.9,1908
Connecticut,35.9,59.4,1908
Delaware,45.9,52.1,1908
Florida,63.0,21.6,1908
Georgia,54.5,31.4,1908
Idaho,37.2,54.1,1908
Illinois,39.0,54.5,1908
Indiana,46.9,48.4,1908
Iowa,40.6,55.6,1908
Kansas,42.9,52.5,1908
Kentucky,49.7,48.0,1908
Louisiana,84.6,11.9,1908
Maine,33.3,63.0,1908
Maryland,48.6,48.8,1908
Massachusetts,34.0,58.2,1908
Michigan,32.4,61.9,1908
Minnesota,33.0,59.1,1908
Mississippi,90.1,6.5,1908
Missouri,48.4,48.5,1908
Montana,42.6,46.9,1908
Nebraska,49.1,47.6,1908
Nevada,45.7,43.9,1908
"New Hampshire",37.6,59.3,1908
"New Jersey",39.1,56.8,1908
"New York",40.7,53.1,1908
"North Carolina",54.2,45.5,1908
"North Dakota",34.8,61.0,1908
Ohio,44.8,51.0,1908
Oklahoma,48.1,43.4,1908
Oregon,34.2,56.5,1908
Pennsylvania,35.4,58.8,1908
"Rhode Island",34.2,60.8,1908
"South Carolina",93.8,5.9,1908
"South Dakota",35.1,58.8,1908
Tennessee,52.7,45.9,1908
Texas,74.0,22.4,1908
Utah,39.2,56.2,1908
Vermont,21.8,75.1,1908
Virginia,60.5,38.4,1908
Washington,31.8,57.8,1908
"West Virginia",43.2,53.4,1908
Wisconsin,36.7,54.5,1908
Wyoming,39.7,55.4,1908
Alabama,73.4,20.7,1904
Arkansas,55.4,40.2,1904
California,26.9,61.9,1904
Colorado,41.1,55.3,1904
Connecticut,38.1,58.1,1904
Delaware,44.1,54.1,1904
Florida,68.8,21.2,1904
Georgia,63.7,18.3,1904
Idaho,25.5,65.8,1904
Illinois,30.4,58.8,1904
Indiana,40.2,54.0,1904
Iowa,30.7,63.4,1904
Kansas,26.2,64.9,1904
Kentucky,49.8,47.1,1904
Louisiana,88.5,9.7,1904
Maine,28.8,67.1,1904
Maryland,48.8,48.8,1904
Massachusetts,37.2,57.9,1904
Michigan,25.8,69.5,1904
Minnesota,18.8,74.0,1904
Mississippi,91.1,5.6,1904
Missouri,46.0,49.9,1904
Montana,34.3,53.5,1904
Nebraska,23.4,61.4,1904
Nevada,32.9,56.7,1904
"New Hampshire",37.8,60.1,1904
"New Jersey",38.0,56.7,1904
"New York",42.3,53.1,1904
"North Carolina",59.7,39.7,1904
"North Dakota",20.3,74.8,1904
Ohio,34.3,59.7,1904
Oregon,19.3,67.3,1904
Pennsylvania,27.3,68.0,1904
"Rhode Island",36.2,60.6,1904
"South Carolina",95.4,4.6,1904
"South Dakota",21.7,71.1,1904
Tennessee,54.2,43.4,1904
Texas,71.5,22.0,1904
Utah,32.9,61.4,1904
Vermont,18.8,78.0,1904
Virginia,61.8,36.9,1904
Washington,19.4,70.0,1904
"West Virginia",42.0,55.3,1904
Wisconsin,28.0,63.2,1904
Wyoming,29.2,66.9,1904
Alabama,60.1,34.7,1900
Arkansas,63.5,35.0,1900
California,41.3,54.5,1900
Colorado,55.5,42.0,1900
Connecticut,41.1,56.9,1900
Delaware,44.9,53.7,1900
Florida,71.1,18.8,1900
Georgia,66.9,28.2,1900
Idaho,49.8,47.9,1900
Illinois,44.4,52.8,1900
Indiana,46.6,50.6,1900
Iowa,39.5,58.0,1900
Kansas,46.0,52.6,1900
Kentucky,50.2,48.5,1900
Louisiana,79.0,21.0,1900
Maine,35.1,61.7,1900
Maryland,46.2,51.5,1900
Massachusetts,37.8,57.6,1900
Michigan,38.9,58.1,1900
Minnesota,35.7,60.2,1900
Mississippi,87.6,9.7,1900
Missouri,51.5,45.9,1900
Montana,58.4,39.8,1900
Nebraska,47.2,50.5,1900
Nevada,62.2,37.8,1900
"New Hampshire",38.4,59.3,1900
"New Jersey",41.1,55.3,1900
"New York",43.8,53.1,1900
"North Carolina",53.9,45.5,1900
"North Dakota",35.5,62.1,1900
Ohio,45.7,52.3,1900
Oregon,39.6,55.2,1900
Pennsylvania,36.2,60.7,1900
"Rhode Island",35.0,59.7,1900
"South Carolina",93.0,7.0,1900
"South Dakota",41.1,56.7,1900
Tennessee,53.0,45.0,1900
Texas,63.1,30.9,1900
Utah,48.3,50.6,1900
Vermont,22.9,75.7,1900
Virginia,55.3,43.8,1900
Washington,41.7,53.4,1900
"West Virginia",44.8,54.3,1900
Wisconsin,36.0,60.1,1900
Wyoming,41.1,58.6,1900
Alabama,67.0,28.6,1896
Arkansas,73.7,25.1,1896
California,41.2,49.1,1896
Colorado,84.9,13.9,1896
Connecticut,32.5,63.2,1896
Delaware,42.6,53.5,1896
Florida,66.0,24.3,1896
Georgia,58.0,36.8,1896
Idaho,78.1,21.3,1896
Illinois,42.7,55.7,1896
Indiana,48.0,50.8,1896
Iowa,42.9,55.5,1896
Kansas,51.5,47.5,1896
Kentucky,48.9,48.9,1896
Louisiana,76.4,21.8,1896
Maine,29.2,67.9,1896
Maryland,41.6,54.7,1896
Massachusetts,26.3,69.5,1896
Michigan,43.5,53.8,1896
Minnesota,40.9,56.6,1896
Mississippi,91.0,6.9,1896
Missouri,54.0,45.2,1896
Montana,79.9,19.7,1896
Nebraska,51.5,46.2,1896
Nevada,75.6,18.8,1896
"New Hampshire",25.4,68.7,1896
"New Jersey",36.0,59.7,1896
"New York",38.7,57.6,1896
"North Carolina",52.6,46.8,1896
"North Dakota",43.6,55.6,1896
Ohio,46.8,51.9,1896
Oregon,48.0,50.0,1896
Pennsylvania,35.8,61.0,1896
"Rhode Island",26.4,68.3,1896
"South Carolina",85.3,13.5,1896
"South Dakota",49.7,49.5,1896
Tennessee,52.1,46.3,1896
Texas,51.9,31.7,1896
Utah,82.7,17.3,1896
Vermont,15.9,80.1,1896
Virginia,52.5,45.9,1896
Washington,55.2,41.8,1896
"West Virginia",46.8,52.2,1896
Wisconsin,37.0,59.9,1896
Wyoming,49.3,47.8,1896
Alabama,59.4,3.9,1892
Arkansas,59.3,31.8,1892
California,43.8,43.8,1892
Colorado,0.0,41.1,1892
Connecticut,50.1,46.8,1892
Delaware,49.9,48.5,1892
Florida,84.8,0.0,1892
Georgia,57.8,21.6,1892
Idaho,0.0,44.3,1892
Illinois,48.8,45.7,1892
Indiana,47.5,46.2,1892
Iowa,44.3,49.6,1892
Kansas,0.0,48.3,1892
Kentucky,51.5,39.7,1892
Louisiana,74.3,23.6,1892
Maine,41.4,54.2,1892
Maryland,53.4,43.5,1892
Massachusetts,45.2,51.9,1892
Michigan,43.3,47.7,1892
Minnesota,37.8,45.9,1892
Mississippi,76.2,2.7,1892
Missouri,49.6,42.0,1892
Montana,39.8,42.4,1892
Nebraska,12.5,43.6,1892
Nevada,6.5,26.0,1892
"New Hampshire",47.1,51.1,1892
"New Jersey",50.7,46.2,1892
"New York",49.0,45.6,1892
"North Carolina",47.4,35.8,1892
"North Dakota",0.0,48.5,1892
Ohio,47.5,47.7,1892
Oregon,18.2,44.7,1892
Pennsylvania,45.1,51.4,1892
"Rhode Island",45.7,50.7,1892
"South Carolina",77.6,18.9,1892
"South Dakota",12.9,49.5,1892
Tennessee,51.4,37.8,1892
Texas,56.6,18.3,1892
Vermont,29.3,68.1,1892
Virginia,56.2,38.7,1892
Washington,33.9,41.4,1892
"West Virginia",49.4,46.9,1892
Wisconsin,47.7,46.1,1892
Wyoming,0.0,50.6,1892
Alabama,67.0,32.7,1888
Arkansas,54.8,38.0,1888
California,46.8,49.7,1888
Colorado,40.8,55.2,1888
Connecticut,48.7,48.4,1888
Delaware,55.1,43.5,1888
Florida,59.5,39.9,1888
Georgia,70.3,28.3,1888
Illinois,46.6,49.5,1888
Indiana,48.6,49.0,1888
Iowa,44.4,52.3,1888
Kansas,31.0,55.2,1888
Kentucky,53.3,45.0,1888
Louisiana,73.4,26.5,1888
Maine,39.4,57.5,1888
Maryland,50.3,47.4,1888
Massachusetts,44.0,53.4,1888
Michigan,44.9,49.7,1888
Minnesota,39.7,54.1,1888
Mississippi,73.8,26.0,1888
Missouri,50.2,45.3,1888
Nebraska,39.8,53.5,1888
Nevada,42.2,57.5,1888
"New Hampshire",47.8,50.4,1888
"New Jersey",49.9,47.5,1888
"New York",48.1,49.2,1888
"North Carolina",51.9,47.1,1888
Ohio,47.1,49.6,1888
Oregon,42.8,53.8,1888
Pennsylvania,44.8,52.7,1888
"Rhode Island",43.0,53.9,1888
"South Carolina",82.3,17.2,1888
Tennessee,52.2,45.8,1888
Texas,65.0,25.9,1888
Vermont,26.4,71.2,1888
Virginia,50.0,49.5,1888
"West Virginia",49.3,49.0,1888
Wisconsin,43.8,49.8,1888
Alabama,60.4,38.7,1884
Arkansas,57.8,40.7,1884
California,45.3,52.0,1884
Colorado,41.7,54.2,1884
Connecticut,48.9,48.0,1884
Delaware,56.6,43.2,1884
Florida,53.0,46.7,1884
Georgia,65.9,33.8,1884
Illinois,46.4,50.2,1884
Indiana,49.5,48.1,1884
Iowa,45.1,50.1,1884
Kansas,35.9,61.5,1884
Kentucky,55.3,43.0,1884
Louisiana,57.2,42.4,1884
Maine,40.0,55.3,1884
Maryland,52.2,46.1,1884
Massachusetts,40.3,48.4,1884
Michigan,47.2,48.0,1884
Minnesota,36.7,58.8,1884
Mississippi,64.3,35.7,1884
Missouri,53.5,46.0,1884
Nebraska,40.5,57.3,1884
Nevada,43.6,56.2,1884
"New Hampshire",46.3,51.1,1884
"New Jersey",49.0,47.3,1884
"New York",48.2,48.2,1884
"North Carolina",53.3,46.6,1884
Ohio,46.9,51.0,1884
Oregon,46.7,51.0,1884
Pennsylvania,43.7,52.7,1884
"Rhode Island",37.8,58.1,1884
"South Carolina",75.3,23.4,1884
Tennessee,51.5,47.7,1884
Texas,69.3,28.6,1884
Vermont,29.2,66.5,1884
Virginia,51.1,48.9,1884
"West Virginia",50.9,47.7,1884
Wisconsin,45.8,50.4,1884
Alabama,60.0,37.1,1880
Arkansas,55.9,39.0,1880
California,49.0,48.9,1880
Colorado,46.0,51.3,1880
Connecticut,48.5,50.5,1880
Delaware,51.5,48.0,1880
Florida,54.2,45.8,1880
Georgia,65.4,34.6,1880
Illinois,44.6,51.1,1880
Indiana,47.9,49.3,1880
Iowa,32.8,56.9,1880
Kansas,29.7,60.4,1880
Kentucky,55.9,39.7,1880
Louisiana,62.3,37.3,1880
Maine,45.3,51.5,1880
Maryland,54.1,45.4,1880
Massachusetts,39.6,58.5,1880
Michigan,37.3,52.5,1880
Minnesota,35.4,62.3,1880
Mississippi,64.7,29.8,1880
Missouri,52.5,38.7,1880
Nebraska,32.7,62.9,1880
Nevada,52.4,47.6,1880
"New Hampshire",47.2,51.9,1880
"New Jersey",49.8,49.0,1880
"New York",48.4,50.3,1880
"North Carolina",51.5,48.0,1880
Ohio,47.0,51.7,1880
Oregon,48.9,50.5,1880
Pennsylvania,46.6,50.8,1880
"Rhode Island",36.9,62.2,1880
"South Carolina",65.5,34.1,1880
Tennessee,53.3,44.3,1880
Texas,64.8,23.8,1880
Vermont,28.1,70.0,1880
Virginia,60.5,39.3,1880
"West Virginia",50.9,41.1,1880
Wisconsin,42.9,54.0,1880
Alabama,60.0,40.0,1876
Arkansas,59.9,39.9,1876
California,49.1,50.9,1876
Connecticut,50.7,48.3,1876
Delaware,55.4,44.6,1876
Florida,49.0,51.0,1876
Georgia,72.0,28.0,1876
Illinois,46.6,50.2,1876
Indiana,49.7,48.1,1876
Iowa,38.2,58.4,1876
Kansas,30.5,63.1,1876
Kentucky,61.5,37.4,1876
Louisiana,48.4,51.6,1876
Maine,42.6,56.6,1876
Maryland,56.0,44.0,1876
Massachusetts,41.9,57.8,1876
Michigan,44.5,52.4,1876
Minnesota,39.3,58.8,1876
Mississippi,68.1,31.9,1876
Missouri,57.6,41.4,1876
Nebraska,35.2,64.8,1876
Nevada,47.3,52.7,1876
"New Hampshire",48.1,51.8,1876
"New Jersey",52.7,47.0,1876
"New York",51.4,48.2,1876
"North Carolina",53.6,46.4,1876
Ohio,49.1,50.2,1876
Oregon,47.4,50.9,1876
Pennsylvania,48.2,50.6,1876
"Rhode Island",40.4,59.6,1876
"South Carolina",49.8,50.2,1876
Tennessee,59.8,40.2,1876
Texas,70.2,29.7,1876
Vermont,31.4,68.4,1876
Virginia,59.6,40.4,1876
"West Virginia",56.7,42.1,1876
Wisconsin,48.1,50.7,1876
Alabama,46.8,53.2,1872
Arkansas,47.8,52.2,1872
California,42.5,56.4,1872
Connecticut,47.6,52.4,1872
Delaware,46.8,51.0,1872
Florida,46.5,53.5,1872
Georgia,55.0,45.0,1872
Illinois,43.0,56.3,1872
Indiana,46.8,53.2,1872
Iowa,32.9,60.8,1872
Kansas,32.8,66.5,1872
Kentucky,54.5,45.5,1872
Louisiana,44.3,55.7,1872
Maine,32.1,67.9,1872
Maryland,50.3,49.7,1872
Massachusetts,30.7,69.3,1872
Michigan,35.5,62.6,1872
Minnesota,38.5,61.4,1872
Mississippi,36.5,63.5,1872
Missouri,55.5,43.7,1872
Nebraska,29.3,70.7,1872
Nevada,42.6,57.4,1872
"New Hampshire",45.6,53.9,1872
"New Jersey",45.5,54.5,1872
"New York",46.7,53.1,1872
"North Carolina",42.5,57.4,1872
Ohio,46.1,53.2,1872
Oregon,38.5,58.8,1872
Pennsylvania,37.8,62.2,1872
"Rhode Island",28.1,71.9,1872
"South Carolina",23.8,75.7,1872
Tennessee,52.2,47.8,1872
Texas,58.5,41.4,1872
Vermont,20.6,78.3,1872
Virginia,49.5,50.5,1872
"West Virginia",47.3,51.7,1872
Wisconsin,44.9,54.6,1872
Alabama,48.7,51.3,1868
Arkansas,46.3,53.7,1868
California,49.8,50.2,1868
Connecticut,48.5,51.5,1868
Delaware,59.0,41.0,1868
Georgia,64.3,35.7,1868
Illinois,44.3,55.7,1868
Indiana,48.6,51.4,1868
Iowa,38.1,61.9,1868
Kansas,31.2,68.8,1868
Kentucky,74.5,25.5,1868
Louisiana,70.7,29.3,1868
Maine,37.6,62.4,1868
Maryland,67.2,32.8,1868
Massachusetts,30.2,69.8,1868
Michigan,43.0,57.0,1868
Minnesota,39.2,60.8,1868
Missouri,43.0,57.0,1868
Nebraska,36.1,63.9,1868
Nevada,44.6,55.4,1868
"New Hampshire",44.8,55.2,1868
"New Jersey",50.9,49.1,1868
"New York",50.6,49.4,1868
"North Carolina",46.6,53.4,1868
Ohio,46.0,54.0,1868
Oregon,50.4,49.6,1868
Pennsylvania,47.8,52.2,1868
"Rhode Island",33.3,66.7,1868
"South Carolina",42.1,57.9,1868
Tennessee,31.6,68.4,1868
Vermont,21.4,78.6,1868
"West Virginia",41.2,58.8,1868
Wisconsin,43.7,56.3,1868
